2021-08-23 18:37:42 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_abon_base.5. 
2021-08-23 18:37:43 WARN  Entity:191 - parse error:stg_dm_b2b.dim_eef_ch_corr_client.6. 
2021-08-23 18:37:43 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_dynamic_abon_base.6. 
2021-08-23 18:37:43 WARN  Entity:191 - parse error:mdm_put.put_xref_dim_branch_v2.7. 
2021-08-23 18:37:43 WARN  Entity:191 - parse error:stg_dds.tfct_chrg_bldt.7. 
2021-08-23 18:37:44 WARN  Entity:191 - parse error:stg_dm_b2b.dim_eef_service.8. 
2021-08-23 18:37:44 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_internet_traf.8. 
2021-08-23 18:37:44 WARN  Entity:191 - parse error:mdm_put.put_xref_dim_region_v2.9. 
2021-08-23 18:37:44 WARN  Entity:191 - parse error:stg_dds.dim_acc.9. 
2021-08-23 18:37:44 WARN  Entity:191 - parse error:stg_dm_b2b.dim_eef_ch_corr_client.9. 
2021-08-23 18:37:45 WARN  Entity:191 - parse error:mdm_put.put_xref_dim_region_v2.10. 
2021-08-23 18:37:45 WARN  Entity:191 - parse error:stg_dm_b2b.dim_eef_ch_corr_client.10. 
2021-08-23 18:37:46 WARN  Entity:191 - parse error:stg_dmcm.tfct_shpd_day.11. 
2021-08-23 18:37:46 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_abon_base.11. 
2021-08-23 18:37:46 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_dynamic_abon_base.12. 
2021-08-23 18:37:47 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_abon_base.107. 
2021-08-23 18:37:48 WARN  Entity:191 - parse error:mdm_put.put_xref_dim_region_v2.108. 
2021-08-23 18:37:48 WARN  Entity:191 - parse error:stg_dds.dim_acc.108. 
2021-08-23 18:37:48 WARN  Entity:191 - parse error:stg_dds.dim_clnt.108. 
2021-08-23 18:37:48 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_abon_base.108. 
2021-08-23 18:37:48 WARN  Entity:191 - parse error:mdm_put.put_dim_segment_xref_start_ip.109. 
2021-08-23 18:37:48 WARN  Entity:191 - parse error:mdm_put.put_xref_dim_region_v2.109. 
2021-08-23 18:37:48 WARN  Entity:191 - parse error:stg_dm_b2b.dim_clnt_dly.109. 
2021-08-23 18:37:49 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_serv_sales.109. 
2021-08-23 18:37:49 WARN  Entity:191 - parse error:mdm_put.put_xref_dim_rc_v2.111. 
2021-08-23 18:37:49 WARN  Entity:191 - parse error:stg_dds.dim_acc.111. 
2021-08-23 18:37:50 WARN  Entity:191 - parse error:stg_dds.dim_subs.111. 
2021-08-23 18:37:50 WARN  Entity:191 - parse error:stg_dmcm.tfct_shpd_day.111. 
2021-08-23 18:37:50 WARN  Entity:191 - parse error:stg_dm_b2b.dim_clnt_dly.111. 
2021-08-23 18:37:50 WARN  Entity:191 - parse error:mdm_put.put_dim_segment_xref_start_ip.112. 
2021-08-23 18:37:52 WARN  Entity:191 - parse error:stg_dds.dim_subs.113. 
2021-08-23 18:37:52 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_dynamic_abon_base.113. 
2021-08-23 18:37:54 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_serv_sales.27. 
2021-08-23 18:37:55 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_dynamic_abon_base.28. 
2021-08-23 18:37:55 WARN  Entity:191 - parse error:stg_dm_b2b.dim_eef_service.28. 
2021-08-23 18:37:57 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_serv_sales.29. 
2021-08-23 18:37:57 WARN  Entity:191 - parse error:stg_dds.tfct_telephony_consumption.29. 
2021-08-23 18:37:57 WARN  Entity:191 - parse error:stg_dm_feb.tfct_charge_address_dq.29. 
2021-08-23 18:37:58 WARN  Entity:191 - parse error:stg_dds.dim_account.30. 
2021-08-23 18:37:58 WARN  Entity:191 - parse error:stg_dm_feb.tfct_charge_address_dq.30. 
2021-08-23 18:37:59 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_dynamic_abon_base.31. 
2021-08-23 18:37:59 WARN  Entity:191 - parse error:stg_dds.tfct_telephony_consumption.31. 
2021-08-23 18:38:01 WARN  Entity:191 - parse error:stg_dm_feb.tfct_charge_address.32. 
2021-08-23 18:38:01 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_internet_traf.33. 
2021-08-23 18:38:02 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_telephony_traf.33. 
2021-08-23 18:38:02 WARN  Entity:191 - parse error:stg_dds.tfct_telephony_consumption.33. 
2021-08-23 18:38:03 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_dynamic_abon_base.34. 
2021-08-23 18:38:03 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_internet_traf.34. 
2021-08-23 18:38:03 WARN  Entity:191 - parse error:stg_dds.dim_account.34. 
2021-08-23 18:38:04 WARN  Entity:191 - parse error:stg_dm_feb.tfct_chrg_adr.34. 
2021-08-23 18:38:04 WARN  Entity:191 - parse error:mdm_put.put_dim_adjust_types_xref_kurs.35. 
2021-08-23 18:38:05 WARN  Entity:191 - parse error:stg_dm_b2b.dim_eef_service.36. 
2021-08-23 18:38:06 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_telephony_traf.36. 
2021-08-23 18:38:06 WARN  Entity:191 - parse error:stg_dds.tfct_telephony_consumption.37. 
2021-08-23 18:38:06 WARN  Entity:191 - parse error:stg_dm_b2b.dim_eef_service.37. 
2021-08-23 18:38:06 WARN  Entity:191 - parse error:stg_dds.dim_add_service.37. 
2021-08-23 18:38:07 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_dynamic_abon_base.37. 
2021-08-23 18:38:08 WARN  Entity:191 - parse error:stg_dds.tfct_telephony_consumption.39. 
2021-08-23 18:38:09 WARN  Entity:191 - parse error:stg_dm_feb.tfct_edo_statistic_detail.45. 
2021-08-23 18:38:10 WARN  Entity:191 - parse error:stg_dm_b2b.dim_eef_ch_corr_client.45. 
2021-08-23 18:38:11 WARN  Entity:191 - parse error:mdm_put.put_xref_dim_mis_business_service.97. 
2021-08-23 18:38:12 WARN  Entity:191 - parse error:stg_dm_efftp.tfct_corrections.97. 
2021-08-23 18:38:12 WARN  Entity:191 - parse error:stg_ddl.tfct_bba_consumption.16. 
2021-08-23 18:38:13 WARN  Entity:191 - parse error:stg_ddl.pre_dim_service_start_writable.23. 
2021-08-23 18:38:13 WARN  Entity:191 - parse error:stg_ddl.pre_dim_subs_writable.24. 
2021-08-23 18:38:13 WARN  Entity:191 - parse error:stg_ddl.pre_dim_subs_writable.63. 
2021-08-23 18:38:13 WARN  Entity:191 - parse error:stg_ddl.tfct_bba_consumption.63. 
2021-08-23 18:38:14 WARN  Entity:191 - parse error:stg_dm_feb.tfct_edo_statistic_detail.64. 
2021-08-23 18:38:14 WARN  Entity:191 - parse error:stg_ddl.pre_dim_subs_writable.64. 
2021-08-23 18:38:14 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_iptv_base_pack.64. 
2021-08-23 18:38:14 WARN  Entity:191 - parse error:stg_ddl.pre_dim_service_start_writable.65. 
2021-08-23 18:38:15 WARN  Entity:191 - parse error:stg_ddl.pre_dim_subs_writable.66. 
2021-08-23 18:38:15 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_iptv_base_pack.66. 
2021-08-23 18:38:15 WARN  Entity:191 - parse error:stg_ddl.pre_dim_service_start_writable.67. 
2021-08-23 18:38:15 WARN  Entity:191 - parse error:stg_ddl.pre_dim_subs_writable.67. 
2021-08-23 18:38:15 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_iptv_base_pack.67. 
2021-08-23 18:38:15 WARN  Entity:191 - parse error:stg_ddl.pre_dim_subs_writable.68. 
2021-08-23 18:38:16 WARN  Entity:191 - parse error:stg_ddl.tfct_bba_consumption.70. 
2021-08-23 18:38:17 WARN  Entity:191 - parse error:stg_dm_feb.tfct_edo_statistic_detail.72. 
2021-08-23 18:38:17 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_iptv_base_pack.72. 
2021-08-23 18:38:18 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_iptv_base_pack.73. 
2021-08-23 18:38:18 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_iptv_base_pack.74. 
2021-08-23 18:38:19 WARN  Entity:191 - parse error:stg_ddl.pre_dim_service_start_writable.76. 
2021-08-23 18:38:19 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_iptv_base_pack.76. 
2021-08-23 18:38:20 WARN  Entity:191 - parse error:stg_ddl.pre_dim_subs_writable.114. 
2021-08-23 18:38:22 WARN  Entity:191 - parse error:stg_dm_feb.tfct_edo_statistic_detail.93. 
2021-08-23 18:38:22 WARN  Entity:191 - parse error:stg_dmcm.pre_vrate_plans_dwh.132. 
2021-08-23 18:38:22 WARN  Entity:191 - parse error:stg_dm_heat_map.tfct_requests.132. 
2021-08-23 18:38:26 WARN  Entity:191 - parse error:stg_ads.pre_supl_cst_lvl_st.204. 
2021-08-23 18:38:28 WARN  Entity:191 - parse error:stg_dm_feb.tfct_edo_statistic_detail.78. 
2021-08-23 18:38:31 WARN  Entity:191 - parse error:stg_dmcm.tfct_dh.152. 
2021-08-23 18:38:31 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_serv_sales_bonuslab.152. 
2021-08-23 18:38:32 WARN  Entity:191 - parse error:stg_dm_efftp.tfct_oo_eff_tp.152. 
2021-08-23 18:38:33 WARN  Entity:191 - parse error:stg_dmcm.tfct_dh.153. 
2021-08-23 18:38:33 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_serv_sales_bonuslab.153. 
2021-08-23 18:38:35 WARN  Entity:191 - parse error:stg_dm_efftp.tfct_conv_acc.153. 
2021-08-23 18:38:36 WARN  Entity:191 - parse error:stg_dmcm.tfct_dh.154. 
2021-08-23 18:38:39 WARN  Entity:191 - parse error:stg_dmcm.tfct_general_info.155. 
2021-08-23 18:38:40 WARN  Entity:191 - parse error:stg_dmcm.tfct_iptv_pack.155. 
2021-08-23 18:38:40 WARN  Entity:191 - parse error:stg_dm_b2b.dim_serv_sales_agg.155. 
2021-08-23 18:38:41 WARN  Entity:191 - parse error:stg_dm_efftp.tfct_conv_rcode.155. 
2021-08-23 18:38:42 WARN  Entity:191 - parse error:stg_dmcm.tfct_dh.156. 
2021-08-23 18:38:42 WARN  Entity:191 - parse error:stg_dmcm.tfct_general_info.156. 
2021-08-23 18:38:43 WARN  Entity:191 - parse error:stg_dmcm.tfct_iptv_pack.156. 
2021-08-23 18:38:46 WARN  Entity:191 - parse error:stg_ads.dim_duz_doc_department_hier.205. 
2021-08-23 18:38:47 WARN  Entity:191 - parse error:stg_ads.tfct_duz_doc_purchase_report.205. 
2021-08-23 18:38:47 WARN  Entity:191 - parse error:stg_dm_b2b.dim_eef_ch_corr_client.207. 
2021-08-23 18:38:49 WARN  Entity:191 - parse error:stg_dmcm.tfct_vats.214. 
2021-08-23 18:38:49 WARN  Entity:191 - parse error:stg_dds.tfct_chrg.147. 
2021-08-23 18:38:49 WARN  Entity:191 - parse error:stg_dds.tfct_pymt.147. 
2021-08-23 18:38:49 WARN  Entity:191 - parse error:stg_dm_feb.dim_eef_grp_tp.305. 
2021-08-23 18:38:50 WARN  Entity:191 - parse error:stg_dm_efftp.tfct_corrections.80. 
2021-08-23 18:38:51 WARN  Entity:191 - parse error:stg_dm_b2b.dim_eef_ch_corr_client.80. 
2021-08-23 18:38:51 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_serv_sales.80. 
2021-08-23 18:38:51 WARN  Entity:191 - parse error:stg_dm_feb.tfct_charge_address_dq.102. 
2021-08-23 18:38:51 WARN  Entity:191 - parse error:stg_dm_b2b.dim_clnt_dly.81. 
2021-08-23 18:38:52 WARN  Entity:191 - parse error:stg_dds.tfct_chrg_adj.81. 
2021-08-23 18:38:52 WARN  Entity:191 - parse error:stg_dm_feb.tfct_edo_statistic_detail.82. 
2021-08-23 18:38:53 WARN  Entity:191 - parse error:stg_dds.tfct_chrg_adj.83. 
2021-08-23 18:38:54 WARN  Entity:191 - parse error:mdm_put.put_xref_dim_region_v2.84. 
2021-08-23 18:38:54 WARN  Entity:191 - parse error:stg_dds.tfct_adjust.84. 
2021-08-23 18:38:55 WARN  Entity:191 - parse error:stg_dm_feb.tfct_edo_statistic_detail.85. 
2021-08-23 18:38:55 WARN  Entity:191 - parse error:stg_dm_b2b.dim_eef_service.85. 
2021-08-23 18:38:56 WARN  Entity:191 - parse error:stg_dm_feb.tfct_edo_statistic_detail.86. 
2021-08-23 18:38:56 WARN  Entity:191 - parse error:mdm_put.put_xref_dim_region_v2.86. 
2021-08-23 18:38:57 WARN  Entity:191 - parse error:stg_dds.tfct_debt.86. 
2021-08-23 18:38:58 WARN  Entity:191 - parse error:stg_dds.dim_emp_sb.87. 
2021-08-23 18:38:58 WARN  Entity:191 - parse error:mdm_put.put_xref_dim_region_v2.87. 
2021-08-23 18:38:58 WARN  Entity:191 - parse error:stg_dm_b2b.dim_eef_ch_corr_client.87. 
2021-08-23 18:38:58 WARN  Entity:191 - parse error:stg_dds.dim_emp_sb.88. 
2021-08-23 18:38:59 WARN  Entity:191 - parse error:stg_dm_efftp.tfct_corrections.88. 
2021-08-23 18:38:59 WARN  Entity:191 - parse error:mdm_put.put_xref_dim_branch_v2.88. 
2021-08-23 18:38:59 WARN  Entity:191 - parse error:stg_dmcm.tfct_shpd_day.88. 
2021-08-23 18:38:59 WARN  Entity:191 - parse error:stg_dm_b2b.dim_eef_service.88. 
2021-08-23 18:39:00 WARN  Entity:191 - parse error:stg_dm_feb.tfct_charge_address_dq.89. 
2021-08-23 18:39:01 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_serv_sales.48. 
2021-08-23 18:39:01 WARN  Entity:191 - parse error:mdm_put.put_xref_dim_branch_v2.49. 
2021-08-23 18:39:01 WARN  Entity:191 - parse error:stg_dds.tfct_chrg.49. 
2021-08-23 18:39:02 WARN  Entity:191 - parse error:stg_dds.dim_acc.50. 
2021-08-23 18:39:02 WARN  Entity:191 - parse error:stg_dds.tfct_chrg_bldt.50. 
2021-08-23 18:39:02 WARN  Entity:191 - parse error:stg_dm_feb.tfct_edo_statistic_detail.51. 
2021-08-23 18:39:03 WARN  Entity:191 - parse error:stg_dds.dim_acc.51. 
2021-08-23 18:39:03 WARN  Entity:191 - parse error:mdm_put.put_xref_dim_branch_v2.52. 
2021-08-23 18:39:03 WARN  Entity:191 - parse error:stg_dds.tfct_chrg.52. 
2021-08-23 18:39:05 WARN  Entity:191 - parse error:stg_dm_b2b.dim_eef_service.55. 
2021-08-23 18:39:06 WARN  Entity:191 - parse error:stg_dds.tfct_chrg.56. 
